FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
0,1,9,5,Staten Island,000900,5000900,I,SI22,West New Brighton-New Brighton-St. George,3903,7729.016729150000200,7729.016992939999900,2497009.840170000200000,0
1,2,125,5,Staten Island,012500,5012500,I,SI22,West New Brighton-New Brighton-St. George,3903,10582.855529700000000,10582.855622700001000,4954936.150279999700000,3
2,3,133.01,5,Staten Island,013301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903,3428.312676090000000,3428.312703709999800,721784.631595000040000,0
3,4,197,5,Staten Island,019700,5019700,I,SI07,Westerleigh,3903,9097.697230710000400,9097.696906260000100,3231719.930009999800000,0
4,5,64,5,Staten Island,006400,5006400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.360448900001000,12726.360703200000000,7643183.469569999700000,0
5,6,74,5,Staten Island,007400,5007400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.948471499999900,9902.948595750000100,5788237.863160000200000,1
6,7,22.02,1,Manhattan,002202,1002202,I,MN28,Lower East Side,3809,3817.391631099999800,3817.391717130000000,603922.241715000010000,0
7,8,32,1,Manhattan,003200,1003200,I,MN22,East Village,3809,6358.386684459999700,6358.387160129999800,2334190.382160000000000,1
8,9,68,1,Manhattan,006800,1006800,I,MN21,Gramercy,3808,5723.883036960000000,5723.882785879999600,1877943.118770000100000,0
9,10,89,1,Manhattan,008900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769498599999700,5578.769362019999800,1782278.338049999900000,5
10,11,96,1,Manhattan,009600,1009600,E,MN17,Midtown-Midtown South,3807,5737.356247060000000,5737.355900350000400,1887288.416770000000000,0
11,12,98,1,Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.199810629999800,5534.200048339999700,1906016.280120000000000,1
12,13,100,1,Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.168488289999900,5692.168784300000000,1860938.375270000000000,2
13,14,102,1,Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,3807,5687.802579000000200,5687.803112700000400,1860992.702409999900000,1
14,15,104,1,Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,3807,5693.036117929999800,5693.036057899999800,1864600.292990000000000,0
15,16,112.01,1,Manhattan,011201,1011201,I,MN17,Midtown-Midtown South,3807,3716.146784690000000,3716.146337300000100,856164.207299000000000,0
16,17,112.02,1,Manhattan,011202,1011202,I,MN17,Midtown-Midtown South,3807,3688.762327739999800,3688.761849110000200,839525.843100999950000,0
17,18,112.03,1,Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031289999900,3701.173365109999800,854082.516415999970000,1
18,19,113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860641270000100,5699.860930539999600,1890907.506970000000000,4
19,20,114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.256100440000400,4125.256191180000300,1063547.281770000000000,2
20,21,130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956380000100,5807.972932929999800,1918144.623829999900000,0
21,22,140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.815640279999600,5820.815752849999600,1925984.188660000000000,1
22,23,146.01,1,Manhattan,014601,1014601,I,MN32,Yorkville,3805,4016.133392730000200,4016.133398819999900,799879.862097000000000,0
23,24,146.02,1,Manhattan,014602,1014602,I,MN32,Yorkville,3805,4528.695482840000300,4528.695989799999600,1175338.581610000000000,0
24,25,148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423049999900,3135.951731059999900,559216.302360999980000,1
25,26,148.02,1,Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029340600000100,4691.029536179999900,1351364.866710000000000,0
26,27,153,1,Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,5674.292341579999600,5674.292210270000400,1872392.625000000000000,0
27,28,154,1,Manhattan,015400,1015400,I,MN32,Yorkville,3805,5536.958003519999700,5536.957944390000200,1909222.296520000100000,0
28,29,156.01,1,Manhattan,015601,1015601,I,MN32,Yorkville,3805,4004.824470399999900,4004.824393739999800,791912.516091000060000,0
29,30,156.02,1,Manhattan,015602,1015602,E,MN33,East Harlem South,3804,4524.706934439999700,4524.706980410000100,1169934.671510000000000,0
30,31,160.01,1,Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.507095910000300,4698.507171880000000,1351864.912740000100000,0
31,32,184,1,Manhattan,018400,1018400,E,MN34,East Harlem North,3804,5771.874346640000100,5771.874244980000200,1903568.302210000100000,9
32,33,190,1,Manhattan,019000,1019000,I,MN11,Central Harlem South,3803,4231.827158940000100,4231.827015070000000,1117371.721829999900000,1
33,34,201.01,1,Manhattan,020101,1020101,I,MN09,Morningside Heights,3802,3329.881694709999900,3329.881923819999900,593526.709702000020000,0
34,35,201.02,1,Manhattan,020102,1020102,E,MN11,Central Harlem South,3803,3745.871034790000100,3745.871139479999800,897067.898533000030000,2
35,36,206,1,Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.873151480000200,5176.873288939999800,1602693.947800000000000,9
36,37,218,1,Manhattan,021800,1021800,E,MN11,Central Harlem South,3803,5775.546073600000500,5775.546394820000400,1958240.626720000100000,9
37,38,220,1,Manhattan,022000,1022000,E,MN11,Central Harlem South,3803,5691.514036280000300,5691.514111219999900,1882932.947840000000000,11
38,39,229,1,Manhattan,022900,1022900,E,MN04,Hamilton Heights,3802,7284.207936370000400,7284.207831149999900,2186714.232729999800000,2
39,40,234,1,Manhattan,023400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.092133719999800,5656.092362090000300,1164817.040250000100000,0
40,41,239,1,Manhattan,023900,1023900,E,MN36,Washington Heights South,3801,3635.962133690000000,3635.962583280000200,687269.155568000050000,0
41,42,249,1,Manhattan,024900,1024900,E,MN36,Washington Heights South,3801,3927.821475280000000,3927.821774280000200,652856.346000000020000,0
42,43,253,1,Manhattan,025300,1025300,E,MN36,Washington Heights South,3801,5651.317583570000400,5651.317047219999900,1822960.164210000100000,0
43,44,257,1,Manhattan,025700,1025700,E,MN11,Central Harlem South,3803,6060.119374879999700,6060.119063090000100,1550590.158660000000000,2
44,45,261,1,Manhattan,026100,1026100,E,MN36,Washington Heights South,3801,5532.100099600000200,5532.100173060000100,1681538.952529999900000,1
45,46,263,1,Manhattan,026300,1026300,E,MN36,Washington Heights South,3801,5730.541687279999700,5730.541835529999800,1691892.270440000100000,1
46,47,267,1,Manhattan,026700,1026700,E,MN35,Washington Heights North,3801,3869.447221720000000,3869.446936110000000,518771.616931000030000,0
47,48,269,1,Manhattan,026900,1026900,E,MN35,Washington Heights North,3801,6017.036710720000000,6017.037387260000300,1889655.704780000000000,0
48,49,277,1,Manhattan,027700,1027700,E,MN35,Washington Heights North,3801,5903.152134019999700,5903.152473760000200,1760155.791370000000000,0
49,50,5.01,3,Brooklyn,000501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,4828.170042150000000,4828.169823700000100,901507.105790999950000,0
50,51,20,3,Brooklyn,002000,3002000,E,BK32,Sunset Park West,4012,5426.067279359999700,5426.067287439999700,1620770.026340000100000,0
51,52,41,3,Brooklyn,004100,3004100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5283.856659690000000,5283.856481009999700,1744094.421180000100000,0
52,53,52.01,3,Brooklyn,005201,3005201,E,BK31,Bay Ridge,4013,5520.047897880000200,5520.033110280000100,1448199.754329999900000,0
53,54,52.02,3,Brooklyn,005202,3005202,I,BK31,Bay Ridge,4013,5190.713908480000100,5190.681724549999700,1398094.611330000000000,0
54,55,58,3,Brooklyn,005800,3005800,E,BK31,Bay Ridge,4013,6098.167798939999600,6098.168204010000400,2080303.376450000100000,0
55,56,60,3,Brooklyn,006000,3006000,I,BK31,Bay Ridge,4013,5498.334386759999700,5498.334340839999600,1639073.986510000000000,0
56,57,65,3,Brooklyn,006500,3006500,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,7861.136621890000200,7861.136285050000000,2685633.871749999900000,0
57,58,67,3,Brooklyn,006700,3006700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5236.047803520000300,5236.047687690000200,1680804.272589999900000,1
58,59,69,3,Brooklyn,006900,3006900,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5563.971321340000000,5563.971635560000300,1927677.677940000100000,0
59,60,74,3,Brooklyn,007400,3007400,E,BK32,Sunset Park West,4012,4994.563886099999800,4994.563841569999600,1516612.936000000000000,0
60,61,76,3,Brooklyn,007600,3007600,E,BK32,Sunset Park West,4012,4980.047514099999700,4980.047685589999700,1510401.985589999900000,0
61,62,78,3,Brooklyn,007800,3007800,E,BK32,Sunset Park West,4012,4986.671595439999700,4986.671888930000000,1509791.835770000000000,1
62,63,80,3,Brooklyn,008000,3008000,E,BK32,Sunset Park West,4012,4989.723102869999800,4989.723730329999900,1506326.610309999900000,0
63,64,98,3,Brooklyn,009800,3009800,E,BK34,Sunset Park East,4012,5203.979584880000400,5203.979221700000400,1625498.612090000000000,0
64,65,101,3,Brooklyn,010100,3010100,E,BK32,Sunset Park West,4012,7585.529139970000000,7585.528959790000000,3393636.014750000100000,0
65,66,102,3,Brooklyn,010200,3010200,E,BK34,Sunset Park East,4012,5223.378481220000100,5223.378357489999900,1640687.936160000000000,0
66,67,104,3,Brooklyn,010400,3010400,E,BK34,Sunset Park East,4012,5221.791691849999600,5221.791626870000100,1639390.976210000000000,0
67,68,108,3,Brooklyn,010800,3010800,E,BK34,Sunset Park East,4012,5203.516599870000400,5203.517051959999700,1624849.892280000000000,0
68,69,110,3,Brooklyn,011000,3011000,E,BK34,Sunset Park East,4012,5365.036479829999700,5365.036438180000000,1699091.786270000000000,0
69,70,114,3,Brooklyn,011400,3011400,E,BK88,Borough Park,4014,5462.281936970000100,5462.281961740000000,1806159.159879999900000,0
70,71,121,3,Brooklyn,012100,3012100,I,BK37,Park Slope-Gowanus,4005,5142.255433440000200,5142.255857199999800,1593259.419599999900000,0
71,72,128.01,3,Brooklyn,012801,3012801,I,BK30,Dyker Heights,4013,4828.983916400000500,4828.983776770000100,1238338.630200000000000,1
72,73,130,3,Brooklyn,013000,3013000,E,BK31,Bay Ridge,4013,5648.236506399999600,5648.236379009999800,1899181.330630000000000,0
73,74,132,3,Brooklyn,013200,3013200,E,BK30,Dyker Heights,4013,6369.334993200000100,6369.334741050000000,1665114.445120000000000,5
74,75,133,3,Brooklyn,013300,3013300,I,BK37,Park Slope-Gowanus,4005,5175.703509269999800,5175.702951020000000,1596011.129540000100000,0
75,76,136,3,Brooklyn,013600,3013600,I,BK31,Bay Ridge,4013,8233.665277449999800,8233.665030950000100,2322222.448919999900000,0
76,77,137,3,Brooklyn,013700,3013700,I,BK37,Park Slope-Gowanus,4005,5226.631818799999600,5226.631466849999900,1638365.899140000100000,0
77,78,139,3,Brooklyn,013900,3013900,E,BK37,Park Slope-Gowanus,4005,5219.680479120000200,5219.680579990000300,1631336.725120000100000,0
78,79,151,3,Brooklyn,015100,3015100,I,BK37,Park Slope-Gowanus,4005,5175.221645990000100,5175.221950950000100,1607114.198400000100000,0
79,80,153,3,Brooklyn,015300,3015300,I,BK37,Park Slope-Gowanus,4005,5188.381441440000300,5188.381475760000300,1619490.123850000100000,1
80,81,155,3,Brooklyn,015500,3015500,I,BK37,Park Slope-Gowanus,4005,5181.351516030000300,5181.352134589999900,1610814.726950000000000,0
81,82,157,3,Brooklyn,015700,3015700,I,BK37,Park Slope-Gowanus,4005,5427.704574690000300,5427.705044800000000,1802056.070510000000000,0
82,83,165,3,Brooklyn,016500,3016500,I,BK37,Park Slope-Gowanus,4005,6727.004994439999800,6727.005175170000300,2006987.867439999900000,0
83,84,170,3,Brooklyn,017000,3017000,I,BK27,Bath Beach,4017,7327.426867389999600,7327.426469490000300,2249706.640350000000000,0
84,85,172,3,Brooklyn,017200,3017200,E,BK27,Bath Beach,4017,7259.321387040000400,7259.321450880000200,2220321.625030000200000,0
85,86,178,3,Brooklyn,017800,3017800,E,BK27,Bath Beach,4017,6092.042689330000000,6092.042534459999800,1765217.361259999900000,1
86,87,182,3,Brooklyn,018200,3018200,E,BK28,Bensonhurst West,4017,5730.247189200000300,5730.247194470000100,1781130.528190000000000,0
87,88,184,3,Brooklyn,018400,3018400,E,BK28,Bensonhurst West,4017,5157.913004500000200,5157.912797539999700,1605281.640050000000000,0
88,89,186,3,Brooklyn,018600,3018600,I,BK28,Bensonhurst West,4017,4679.729979380000300,4679.729883529999800,1216850.245780000000000,0
89,90,188,3,Brooklyn,018800,3018800,I,BK28,Bensonhurst West,4017,5864.289707289999600,5864.290026919999900,1885932.652419999900000,0
90,91,190,3,Brooklyn,019000,3019000,E,BK28,Bensonhurst West,4017,6614.318963149999900,6614.319265979999700,2291793.807829999800000,0
91,92,192,3,Brooklyn,019200,3019200,E,BK88,Borough Park,4014,5880.317175930000300,5880.317117800000200,2042946.502859999900000,0
92,93,194,3,Brooklyn,019400,3019400,E,BK30,Dyker Heights,4013,6220.292663389999700,6220.292578010000400,1920211.732000000100000,0
93,94,195,3,Brooklyn,019500,3019500,E,BK69,Clinton Hill,4004,4887.717106809999700,4887.716834480000200,1475082.841070000100000,0
94,95,196,3,Brooklyn,019600,3019600,E,BK30,Dyker Heights,4013,5718.167633799999700,5718.167324500000200,2027285.744990000000000,0
95,96,197,3,Brooklyn,019700,3019700,I,BK69,Clinton Hill,4004,6148.341528820000300,6148.342375129999700,1828072.166610000000000,1
96,97,198,3,Brooklyn,019800,3019800,E,BK30,Dyker Heights,4013,5279.397045689999700,5279.396895050000200,1450201.641640000000000,0
97,98,204,3,Brooklyn,020400,3020400,I,BK30,Dyker Heights,4013,5280.338321580000400,5280.338099329999700,1450945.685469999900000,0
98,99,208,3,Brooklyn,020800,3020800,I,BK30,Dyker Heights,4013,5945.305484669999700,5945.305629929999700,1542688.945899999900000,0
99,100,210,3,Brooklyn,021000,3021000,E,BK30,Dyker Heights,4013,5710.828020279999700,5710.827895540000100,1614540.034210000000000,0
100,101,212,3,Brooklyn,021200,3021200,E,BK30,Dyker Heights,4013,5986.105227820000400,5986.105328740000000,2054324.451630000000000,0
101,102,214,3,Brooklyn,021400,3021400,E,BK88,Borough Park,4014,5551.994240850000100,5551.993705570000200,1808036.508130000000000,0
102,103,219,3,Brooklyn,021900,3021900,E,BK61,Crown Heights North,4006,5031.288125899999600,5031.288113169999600,1582742.276250000100000,0
103,104,220,3,Brooklyn,022000,3022000,E,BK88,Borough Park,4014,6117.082299570000000,6117.082267280000500,2091173.049300000100000,0
104,105,221,3,Brooklyn,022100,3022100,E,BK61,Crown Heights North,4006,5511.964693070000100,5511.964770929999800,1617936.877469999900000,0
105,106,222,3,Brooklyn,022200,3022200,E,BK88,Borough Park,4014,5742.179475879999700,5742.179912399999900,1896474.555519999900000,0
106,107,227,3,Brooklyn,022700,3022700,E,BK69,Clinton Hill,4004,6861.719709070000100,6861.719380980000100,2588318.279060000100000,1
107,108,229,3,Brooklyn,022900,3022900,E,BK69,Clinton Hill,4004,5440.764490249999700,5440.764885319999800,1849568.480460000000000,0
108,109,231,3,Brooklyn,023100,3023100,I,BK69,Clinton Hill,4004,5908.873250650000000,5908.873023180000000,1716029.710870000100000,0
109,110,235,3,Brooklyn,023500,3023500,E,BK69,Clinton Hill,4004,4958.034954050000100,4958.034852869999700,1523725.909770000000000,0
110,111,236,3,Brooklyn,023600,3023600,E,BK88,Borough Park,4014,6242.981076799999800,6242.981099360000400,1828207.893510000100000,0
111,112,238,3,Brooklyn,023800,3023800,E,BK88,Borough Park,4014,6244.556731450000400,6244.556459569999800,1828765.504410000100000,0
112,113,240,3,Brooklyn,024000,3024000,E,BK88,Borough Park,4014,6240.459349669999900,6240.459016730000300,1827206.503010000100000,0
113,114,242,3,Brooklyn,024200,3024200,E,BK88,Borough Park,4014,6964.549392550000400,6964.549414189999900,2061125.136639999900000,0
114,115,245,3,Brooklyn,024500,3024500,E,BK75,Bedford,4003,5582.222562799999700,5582.222715720000500,1795931.588359999900000,0
115,116,246,3,Brooklyn,024600,3024600,E,BK88,Borough Park,4014,6796.313335810000400,6796.313870490000200,1845582.854450000000000,0
116,117,247,3,Brooklyn,024700,3024700,E,BK61,Crown Heights North,4006,7488.701729639999900,7488.700987590000300,2028330.567439999900000,0
117,118,248,3,Brooklyn,024800,3024800,E,BK28,Bensonhurst West,4017,6417.483305869999600,6417.483652550000400,1895137.987320000100000,0
118,119,249,3,Brooklyn,024900,3024900,E,BK75,Bedford,4003,5777.655193329999700,5777.655146039999600,1813352.706930000100000,0
119,120,250,3,Brooklyn,025000,3025000,E,BK28,Bensonhurst West,4017,5938.202538749999800,5938.202453070000000,1867290.056189999900000,0
120,121,252,3,Brooklyn,025200,3025200,E,BK28,Bensonhurst West,4017,6686.606726580000200,6686.606553910000000,1950978.963019999900000,0
121,122,254,3,Brooklyn,025400,3025400,E,BK28,Bensonhurst West,4017,6302.394681230000100,6302.395081360000400,1888611.769760000100000,0
122,123,256,3,Brooklyn,025600,3025600,E,BK28,Bensonhurst West,4017,6298.065461199999800,6298.065782540000300,1869263.160840000000000,0
123,124,258,3,Brooklyn,025800,3025800,E,BK28,Bensonhurst West,4017,6257.554320229999600,6257.554254839999900,1832115.637870000000000,0
124,125,260,3,Brooklyn,026000,3026000,E,BK28,Bensonhurst West,4017,5699.189184760000000,5699.189599360000100,1753286.308299999900000,0
125,126,262,3,Brooklyn,026200,3026200,I,BK28,Bensonhurst West,4017,5384.768034800000400,5384.768356939999600,1699503.253289999900000,0
126,127,263,3,Brooklyn,026300,3026300,E,BK75,Bedford,4003,4799.556849440000400,4799.556468009999700,1287405.717970000100000,2
127,128,264,3,Brooklyn,026400,3026400,E,BK28,Bensonhurst West,4017,7095.086066779999800,7095.085947669999800,2038976.194510000100000,0
128,129,266,3,Brooklyn,026600,3026600,I,BK28,Bensonhurst West,4017,7706.999646780000100,7706.999693810000300,1785502.923800000000000,0
129,130,267,3,Brooklyn,026700,3026700,I,BK75,Bedford,4003,5340.244065500000000,5340.243920889999600,1717367.677350000000000,0
130,131,268,3,Brooklyn,026800,3026800,E,BK28,Bensonhurst West,4017,6339.144273109999600,6339.144076079999600,1926489.340709999900000,0
131,132,269,3,Brooklyn,026900,3026900,E,BK75,Bedford,4003,5051.018932089999900,5051.018946459999800,1441848.746719999900000,0
132,133,270,3,Brooklyn,027000,3027000,E,BK28,Bensonhurst West,4017,5255.801029289999900,5255.801007289999700,1444005.593560000000000,0
133,134,271,3,Brooklyn,027100,3027100,E,BK61,Crown Heights North,4006,9484.867868159999500,9484.867982410000000,2767038.949169999900000,0
134,135,272,3,Brooklyn,027200,3027200,E,BK28,Bensonhurst West,4017,7299.797655499999600,7299.797830360000300,1422363.578900000100000,0
135,136,273,3,Brooklyn,027300,3027300,I,BK35,Stuyvesant Heights,4003,5273.313701160000200,5273.313958730000200,1611451.030990000100000,0
136,137,274,3,Brooklyn,027400,3027400,E,BK28,Bensonhurst West,4017,6175.275942280000000,6175.276224590000300,1758627.085939999900000,0
137,138,276,3,Brooklyn,027600,3027600,E,BK28,Bensonhurst West,4017,6258.678984870000000,6258.679563079999800,1607862.807740000100000,0
138,139,278,3,Brooklyn,027800,3027800,E,BK28,Bensonhurst West,4017,6104.407842679999700,6104.407566070000000,1727741.931230000000000,0
139,140,279,3,Brooklyn,027900,3027900,E,BK35,Stuyvesant Heights,4003,5389.745821370000200,5389.745875110000300,1743087.982580000100000,0
140,141,284,3,Brooklyn,028400,3028400,E,BK28,Bensonhurst West,4017,6096.044706499999800,6096.044502699999600,1768012.049330000100000,0
141,142,285.01,3,Brooklyn,028501,3028501,I,BK78,Bushwick South,4002,4167.689616329999800,4167.689342339999700,895739.649545999940000,0
142,143,288,3,Brooklyn,028800,3028800,E,BK28,Bensonhurst West,4017,5777.687907520000400,5777.687545150000000,1644934.080959999900000,0
143,144,290,3,Brooklyn,029000,3029000,E,BK28,Bensonhurst West,4017,5799.041489199999900,5799.041135880000200,1665073.543970000000000,0
144,145,291,3,Brooklyn,029100,3029100,E,BK35,Stuyvesant Heights,4003,5439.939153129999800,5439.938914530000100,1772059.345530000000000,0
145,146,293,3,Brooklyn,029300,3029300,E,BK35,Stuyvesant Heights,4003,5437.785217210000200,5437.785777600000100,1770060.704560000000000,0
146,147,296,3,Brooklyn,029600,3029600,E,BK28,Bensonhurst West,4017,7396.971341880000200,7396.971718830000100,2300496.619820000100000,0
147,148,297,3,Brooklyn,029700,3029700,I,BK61,Crown Heights North,4006,5858.602490580000400,5858.602288959999900,2212767.991340000200000,0
148,149,298,3,Brooklyn,029800,3029800,E,BK29,Bensonhurst East,4017,7431.077921269999900,7431.078106429999900,2379874.036320000000000,0
149,150,300,3,Brooklyn,030000,3030000,E,BK29,Bensonhurst East,4017,7243.131793220000000,7243.131825030000100,2099451.108380000100000,0
150,151,302,3,Brooklyn,030200,3030200,E,BK29,Bensonhurst East,4017,6921.914364880000000,6921.914812539999700,2273119.900729999900000,0
151,152,305,3,Brooklyn,030500,3030500,E,BK61,Crown Heights North,4006,7369.206067369999800,7369.206024029999800,3474329.237749999900000,0
152,153,309,3,Brooklyn,030900,3030900,E,BK61,Crown Heights North,4006,5470.581443469999600,5470.581785360000100,1587377.110200000000000,0
153,154,317.01,3,Brooklyn,031701,3031701,E,BK61,Crown Heights North,4006,5033.486008030000400,5033.486188609999800,1504294.016009999900000,0
154,155,323,3,Brooklyn,032300,3032300,E,BK63,Crown Heights South,4011,6269.420676589999900,6269.420354529999700,1862860.586070000000000,0
155,156,326,3,Brooklyn,032600,3032600,E,BK21,Seagate-Coney Island,4018,7873.196645779999900,7873.196738579999900,3542642.486800000100000,3
156,157,329,3,Brooklyn,032900,3032900,E,BK60,Prospect Lefferts Gardens-Wingate,4011,7138.852586779999900,7138.852668599999600,1683542.381770000100000,0
157,158,331,3,Brooklyn,033100,3033100,E,BK63,Crown Heights South,4011,7551.857278090000400,7551.857744410000100,1533546.892079999900000,0
158,159,333,3,Brooklyn,033300,3033300,E,BK63,Crown Heights South,4011,7463.479724179999700,7463.479826699999600,2005663.290580000000000,0
159,160,335,3,Brooklyn,033500,3033500,E,BK63,Crown Heights South,4011,7422.437708940000400,7422.437285580000200,1944377.272870000000000,0
160,161,337,3,Brooklyn,033700,3033700,E,BK61,Crown Heights North,4006,7545.478655879999700,7545.478199389999600,2126882.227770000200000,0
161,162,339,3,Brooklyn,033900,3033900,E,BK61,Crown Heights North,4006,7419.803723789999800,7419.803524009999800,1945657.536540000000000,0
162,163,341,3,Brooklyn,034100,3034100,E,BK61,Crown Heights North,4006,5030.776598919999700,5030.776431790000100,1504307.969510000000000,0
163,164,342,3,Brooklyn,034200,3034200,E,BK21,Seagate-Coney Island,4018,7381.417191489999800,7381.417238480000400,2475181.653460000200000,0
164,165,363,3,Brooklyn,036300,3036300,E,BK79,Ocean Hill,4007,8445.466805469999600,8445.467164069999900,2785736.433670000200000,0
165,166,365.02,3,Brooklyn,036502,3036502,E,BK79,Ocean Hill,4007,6132.196174060000000,6132.196062979999600,1252061.601169999900000,0
166,167,388,3,Brooklyn,038800,3038800,E,BK25,Homecrest,4016,5947.056737429999900,5947.056672069999900,2130565.819879999800000,0
167,168,396,3,Brooklyn,039600,3039600,I,BK25,Homecrest,4016,5569.960506680000400,5569.960619280000200,1757819.576690000000000,0
168,169,397,3,Brooklyn,039700,3039700,E,BK78,Bushwick South,4002,6560.681693720000100,6560.682009369999800,1712820.311620000100000,0
169,170,399,3,Brooklyn,039900,3039900,E,BK78,Bushwick South,4002,6391.348879109999900,6391.349157570000000,1627809.337890000100000,0
170,171,401,3,Brooklyn,040100,3040100,E,BK78,Bushwick South,4002,5246.300164700000100,5246.299907349999600,1718318.876040000000000,0
171,172,404,3,Brooklyn,040400,3040400,I,BK29,Bensonhurst East,4017,7953.541648870000200,7953.542206969999800,1653839.712069999900000,1
172,173,406,3,Brooklyn,040600,3040600,E,BK29,Bensonhurst East,4017,5548.546359670000100,5548.546903890000100,1582378.877520000100000,0
173,174,408,3,Brooklyn,040800,3040800,E,BK29,Bensonhurst East,4017,5629.302551660000100,5629.302679890000000,1654268.820330000000000,0
174,175,413,3,Brooklyn,041300,3041300,E,BK78,Bushwick South,4002,5284.902881410000200,5284.902455929999600,1745182.764980000000000,0
175,176,414.01,3,Brooklyn,041401,3041401,E,BK25,Homecrest,4016,5189.968850489999600,5189.968608870000000,1454192.471930000000000,0
176,177,415,3,Brooklyn,041500,3041500,E,BK78,Bushwick South,4002,5326.724601810000400,5326.724862799999800,1750287.903759999900000,0
177,178,417,3,Brooklyn,041700,3041700,E,BK78,Bushwick South,4002,5025.015249709999800,5025.015576990000200,1519400.681709999900000,2
178,179,418,3,Brooklyn,041800,3041800,E,BK25,Homecrest,4016,6582.865969210000000,6582.865723400000200,1773170.387640000100000,0
179,180,419,3,Brooklyn,041900,3041900,E,BK78,Bushwick South,4002,5222.700540920000100,5222.700553259999700,1646861.655079999900000,0
180,181,420,3,Brooklyn,042000,3042000,E,BK25,Homecrest,4016,6966.654884780000400,6966.654653249999700,1820928.810880000000000,0
181,182,421,3,Brooklyn,042100,3042100,E,BK78,Bushwick South,4002,5252.771455019999800,5252.771524980000300,1651413.476270000000000,0
182,183,426,3,Brooklyn,042600,3042600,E,BK29,Bensonhurst East,4017,5548.580548519999900,5548.580576819999800,1829969.005010000000000,0
183,184,427,3,Brooklyn,042700,3042700,E,BK77,Bushwick North,4002,5232.288594059999900,5232.288175290000300,1595494.618240000000000,0
184,185,428,3,Brooklyn,042800,3042800,E,BK29,Bensonhurst East,4017,6669.645882509999900,6669.645873960000200,1773181.672689999900000,0
185,186,429,3,Brooklyn,042900,3042900,E,BK77,Bushwick North,4002,5385.170648530000100,5385.170454610000000,1809836.597420000000000,4
186,187,430,3,Brooklyn,043000,3043000,E,BK29,Bensonhurst East,4017,6283.851112020000100,6283.851058180000100,1721309.819450000100000,0
187,188,431,3,Brooklyn,043100,3043100,E,BK77,Bushwick North,4002,5386.799542050000100,5386.799826800000100,1810786.978540000000000,0
188,189,432,3,Brooklyn,043200,3043200,E,BK29,Bensonhurst East,4017,5480.481648439999800,5480.481434710000000,1593340.811730000000000,0
189,190,433,3,Brooklyn,043300,3043300,E,BK77,Bushwick North,4002,5387.201247670000200,5387.201353940000400,1810979.390799999900000,0
190,191,434,3,Brooklyn,043400,3043400,E,BK29,Bensonhurst East,4017,5543.211491619999800,5543.211228240000300,1509164.581890000000000,0
191,192,435,3,Brooklyn,043500,3043500,E,BK77,Bushwick North,4002,5385.051872209999600,5385.051535159999700,1810895.088620000100000,1
192,193,436,3,Brooklyn,043600,3043600,E,BK29,Bensonhurst East,4017,5828.143670380000000,5828.143752140000300,1480301.701420000100000,0
193,194,437,3,Brooklyn,043700,3043700,E,BK77,Bushwick North,4002,5385.659378950000200,5385.659301589999800,1809983.915719999900000,0
194,195,439,3,Brooklyn,043900,3043900,E,BK77,Bushwick North,4002,8162.503893590000200,8162.503749329999700,2152393.030940000000000,0
195,196,440,3,Brooklyn,044000,3044000,I,BK46,Ocean Parkway South,4014,6721.508464040000000,6721.508324579999700,2173529.530300000200000,0
196,197,441,3,Brooklyn,044100,3044100,E,BK77,Bushwick North,4002,5513.910687650000000,5513.910494650000100,1528572.553300000000000,0
