FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
704,705,1175,4,Queens,117500,4117500,I,QN51,Murray Hill,4103,10979.171215000000000,10979.171510300001000,6052323.850999999800000,0
705,706,1181,4,Queens,118100,4118100,I,QN48,Auburndale,4104,6073.706378359999700,6073.706348820000100,2096778.727320000100000,0
706,707,1185,4,Queens,118500,4118500,I,QN52,East Flushing,4103,7880.477860390000400,7880.478330949999900,1665902.207359999900000,0
707,708,1187,4,Queens,118700,4118700,I,QN52,East Flushing,4103,6293.045875550000300,6293.046135640000100,2015272.267370000000000,0
708,709,1189,4,Queens,118900,4118900,I,QN52,East Flushing,4103,6002.855357810000000,6002.855281369999800,2178181.883950000200000,0
709,710,1191,4,Queens,119100,4119100,E,QN52,East Flushing,4103,7286.996179470000200,7286.996508899999800,2342906.867350000000000,0
710,711,1193,4,Queens,119300,4119300,I,QN52,East Flushing,4103,7005.183988519999700,7005.184423949999700,2275552.447540000100000,0
711,712,1195,4,Queens,119500,4119500,I,QN52,East Flushing,4103,6786.593631660000000,6786.593353719999900,2037041.506959999900000,0
712,713,1199,4,Queens,119900,4119900,E,QN52,East Flushing,4103,7088.400929059999700,7088.400930509999900,1984493.086249999900000,0
713,714,1201,4,Queens,120100,4120100,I,QN52,East Flushing,4103,6506.893329890000100,6506.892609030000100,1753563.016850000000000,0
714,715,1203,4,Queens,120300,4120300,I,QN52,East Flushing,4103,6496.703942369999800,6496.704031989999700,1980421.533439999900000,0
715,716,1205,4,Queens,120500,4120500,E,QN52,East Flushing,4103,6065.701102760000100,6065.701321909999900,2176840.376699999900000,0
716,717,1207,4,Queens,120700,4120700,I,QN52,East Flushing,4103,13726.381148500001000,13726.380559699999000,7440761.736630000200000,4
717,718,1241,4,Queens,124100,4124100,I,QN38,Pomonok-Flushing Heights-Hillcrest,4106,11577.079394400000000,11577.079711700000000,5369893.993839999700000,0
718,719,1247,4,Queens,124700,4124700,I,QN38,Pomonok-Flushing Heights-Hillcrest,4106,10220.916166400000000,10220.916168300000000,5206785.906990000000000,0
719,720,1265,4,Queens,126500,4126500,I,QN38,Pomonok-Flushing Heights-Hillcrest,4106,7033.190748209999600,7033.190937940000400,2156793.983930000100000,0
720,721,1291.04,4,Queens,129104,4129104,I,QN42,Oakland Gardens,4104,13515.580566500001000,13515.580284500000000,7607337.773959999900000,0
721,722,1339,4,Queens,133900,4133900,I,QN41,Fresh Meadows-Utopia,4106,6239.591222150000200,6239.591137329999600,2434847.145229999900000,0
722,723,1409.01,4,Queens,140901,4140901,E,QN46,Bayside-Bayside Hills,4104,6706.102714679999700,6706.102437360000300,2608328.049960000000000,0
723,724,1409.02,4,Queens,140902,4140902,I,QN48,Auburndale,4104,10718.762939900000000,10718.763025000000000,5843531.583110000000000,0
724,725,1451.02,4,Queens,145102,4145102,I,QN46,Bayside-Bayside Hills,4104,9156.789095649999600,9156.789015430000300,3780661.853999999800000,0
725,726,1459,4,Queens,145900,4145900,I,QN48,Auburndale,4104,8573.259999820000300,8573.259662360000200,4007730.220610000200000,0
726,727,1529.02,4,Queens,152902,4152902,I,QN45,Douglas Manor-Douglaston-Little Neck,4104,14314.694283299999000,14314.693929200001000,11120070.758500000000000,0
727,728,1571.02,4,Queens,157102,4157102,I,QN43,Bellerose,4105,9502.627484689999600,9502.627364109999700,3367081.721020000100000,0
728,729,1579.01,4,Queens,157901,4157901,I,QN44,Glen Oaks-Floral Park-New Hyde Park,4105,13516.732768700000000,13516.732973700000000,9833174.887739999200000,0
729,730,1579.02,4,Queens,157902,4157902,I,QN44,Glen Oaks-Floral Park-New Hyde Park,4105,11455.796896700000000,11455.796677900000000,7773114.234240000100000,1
