,GEO.id2,PUMA,youth_pop,Income,Education_level,hotspot,withoutHSI,WithoutDevice,score,RANK
0,36005039700,03705,89.7863655174,95.8590581488,54.3155746914,100.0,57.5934133147,23.9332128709,87.8157060674,1
1,36061020300,03802,99.507148477,88.8119655912,55.152394775,100.0,33.657827623,18.4608250248,85.7413480444,2
2,36005043500,03702,60.806925676,95.2253020244,35.152394775,93.9393939394,44.2267445465,19.192505019,78.1419288847,3
3,36061026700,03801,71.0199232755,85.8761075663,52.9878926105,100.0,30.7817174321,18.2503450472,77.8754757885,4
4,36061020701,03802,77.0716701838,80.8969026892,55.152394775,100.0,33.657827623,18.4608250248,76.5085320404,5
5,36047121400,04008,41.0857887765,96.3352363239,41.0519085514,100.0,48.0198920705,24.5683401045,76.0245549932,6
6,36061021900,03802,40.3664922135,96.6710581833,40.7343287646,96.9696969697,33.657827623,18.4608250248,75.913516652,7
7,36047028700,04003,40.0488648646,94.44387039,47.7411212886,100.0,50.2172614985,19.4839015152,75.8147258076,8
8,36005038700,03705,48.2332937097,94.8924939509,35.5078671792,100.0,57.5934133147,23.9332128709,75.6843137974,9
9,36047091000,04007,36.7083341536,98.9520635823,35.3912007452,96.9696969697,79.5538686816,25.5031737785,75.6307389597,10
10,36061022302,03802,44.3340836019,92.9903644959,46.1790722205,100.0,33.657827623,18.4608250248,75.5570942841,11
11,36047026100,04003,50.3557558799,89.3053654,49.3900286353,100.0,50.2172614985,19.4839015152,75.1273524506,12
12,36005038900,03705,49.9389789999,92.8418279042,36.0639471216,100.0,57.5934133147,23.9332128709,74.905996177,13
13,36047053500,04001,40.9890812766,95.2149690441,37.9673247906,100.0,29.0919568504,14.5642165423,74.8230670997,14
14,36047052700,04001,47.7935289299,92.0341332782,40.9699922037,100.0,29.0919568504,14.5642165423,74.815787106,15
15,36047050500,04001,42.5441028959,92.9184641747,43.1579735756,100.0,29.0919568504,14.5642165423,74.6457437439,16
16,36047051100,04001,47.7102373724,90.5100186855,44.9685192446,100.0,29.0919568504,14.5642165423,74.5654066791,17
17,36005024501,03707,43.678404878,92.6820972506,42.0535469885,100.0,66.2776922371,23.2600281886,74.5496863196,18
18,36061019600,03804,33.7136242066,96.5871027184,40.3026093673,96.9696969697,67.4379487441,32.3666056596,74.4458458249,19
19,36061001402,03809,39.1465716224,92.5426020167,46.6675462902,100.0,63.5074933907,24.9802930224,74.3242822937,20
20,36081099802,04114,31.6782550362,94.4477452576,48.902394775,100.0,35.0973603822,21.7267576289,74.3189432523,21
21,36005005300,03707,39.1158416998,97.0525173723,30.6919631204,100.0,66.2776922371,23.2600281886,74.3141178405,22
22,36047103400,04009,32.0229658621,96.6568503354,40.3114053757,100.0,28.9517597448,13.8927392503,74.2583124408,23
