FID,STATEFP10,PUMACE10,AFFGEOID10,GEOID10,NAME10,LSAD10,ALAND10,AWATER10
43,36,04018,7950000US3604018,3604018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island,P0,8902505.000000000000000,21195889.000000000000000
44,36,04112,7950000US3604112,3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans",P0,24099016.000000000000000,106288.000000000000000
45,36,04007,7950000US3604007,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,P0,6709367.000000000000000,0.000000000000000
46,36,03901,7950000US3603901,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale",P0,63443883.000000000000000,99367588.000000000000000
47,36,03706,7950000US3603706,3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",P0,4061100.000000000000000,27111.000000000000000
48,36,03804,7950000US3603804,3603804,NYC-Manhattan Community District 11--East Harlem,P0,6012925.000000000000000,2263224.000000000000000
49,36,03702,7950000US3603702,3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",P0,17445816.000000000000000,49018.000000000000000
50,36,03710,7950000US3603710,3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",P0,12710797.000000000000000,4215120.000000000000000
51,36,03810,7950000US3603810,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",P0,7504744.000000000000000,7504270.000000000000000
52,36,04104,7950000US3604104,3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck",P0,24123994.000000000000000,1700632.000000000000000
53,36,04109,7950000US3604109,3604109,NYC-Queens Community District 2--Sunnyside & Woodside,P0,15512586.000000000000000,368414.000000000000000
54,36,03703,7950000US3603703,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",P0,24163579.000000000000000,28765526.000000000000000
